Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Dr Dispatch,https://www.crunchbase.com/organization/dr-dispatch,Active,"Springfield, Missouri, United States",1-10,Dr Dispatch improves freight and distribution channels by keeping the deliveries manageable under a company's control.,"Dr Dispatch improves freight and distribution channels by keeping the deliveries manageable under a company's control. The companyh helps anyone to keep their dispatchers, equipment, and loads all on the same page. Dr Dispatch TMS helps manage and track those deliveries for Carriers, Brokers, 3rd Party Logistics (3PLs), Suppliers and Manufacturers. Dr Dispatch is loaded with features that helps to compete in today's logistics world by offering a higher level of service than the competitors. Created by people from the trucking industry and backed by 20 years of proven reliability, Dr Dispatch dispatch software is continually improving to meet the needs of today's high demand Trucking and Brokerage professionals.	","Freight Service, Logistics, Software, Transportation",1995-01-01,year,"Software, Transportation",,Private,"2,530",,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Book Your Cargo,https://www.crunchbase.com/organization/book-your-cargo,Active,"West Long Branch, New Jersey, United States",11-50,BYC was formed in 2015 to streamline the drayage process via the use of technologically advanced technologies.,,"Freight Service, Logistics, Software, Supply Chain Management, Transportation",2015-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Advanced InfoData Systems,https://www.crunchbase.com/organization/advanced-infodata-systems,Active,"Ulm, Baden-Wurttemberg, Germany",11-50,"An Ulm, Germany-based logistics software company",,Software,1997-01-01,year,Software,,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
T&w Operations,https://www.crunchbase.com/organization/t-w-operations,Active,"Huntsville, Alabama, United States",11-50,"T&W provides a configurable and secure, web-based supply chain management system.","T&W provides a highly configurable and secure, web-based supply chain management system, COLTS. COLTS manages the flow of systems and parts throughout a customer’s facilities, capturing vital information during all lifecycle phases from acquisition to disposition. COLTS tracks all maintenance actions on parts and systems and provides Total Asset Visibility through RFID and IUID interfaces. This information, in conjunction with system generated metrics, can be utilized to streamline and optimize logistics and maintenance. T&W provides Near Real-Time Location systems (NRTLS) which allow storage facilities to conduct cycle counts on a daily, weekly, bi-weekly, monthly or customized basis. The accuracy of a supply chain management database will increase with more frequent cycle counts. The NRTLS lowers the cost of cycle counts so that warehousing facilities can conduct on-demand inventories with a single user. A NRTLS may consist of a Passive Radio Frequency Identification (pRFID) antenna array that is controlled by multiple pRFID readers and a self-contained, single user system. T&W teams maintain systems in accordance with the DoD Information Assurance (IA) Certification and Accreditation Process (DICAP) Certification and Accreditation. Team leads are Certified Information Systems Security Professionals (CISSP). T&W Integrates System of Systems for DoD and Commercial environments. T&W custom develops middleware in collaboration with existing software to serve customer requirements and minimize downtime.","Commercial, Logistics, Software, Supply Chain Management",2010-01-01,year,"Other, Software, Transportation",,Private,"1,166",,,,,,,,,,,,,,,,,,,,,,
Centrade,https://www.crunchbase.com/organization/centrade,Active,"Mendota, Minnesota, United States",11-50,"Centrade is a global trade management software for logistic providers, freight forwarders and supply chain issues.",,"Logistics, Software, Transportation",1973-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Edticket,https://www.crunchbase.com/organization/edticket,Active,"Seoul, Seoul-t'ukpyolsi, South Korea",11-50,Edticket,"Edticket is a school bus sharing company in South Korea. Its bus sharing service Shuttle Tayo caters kindergarten and academy buses that helps reduce costs for businesses and increases safety for students. It was launched to help support educational institutions that struggle to maintain older vehicles and don’t have enough staff to act as safety monitors on each bus, as required by law. Shuttle Tayo buses come with their own drivers and safety monitors, and the sharing of vehicles can be managed by institutions through a scheduling and management system.","Education, Logistics, Software",2016-01-01,year,"Education, Software, Transportation","Collaborative Fund, BonAngels Venture Partners",Private,,,,Series A,,,,Series A,,,,,,,,,,1,,2,,,
Venex Systems,https://www.crunchbase.com/organization/venex-systems,Active,"Miami, Florida, United States",1-10,Venex Systems offers software developed for freight forwarders and logistics companies.,Venex Systems is specialized in business software solutions for Freight Forwarders and warehouse management system. They offer EZ-Freight software to prepare and process consolidated cargo form.EZ-Freight software allows secured access with authorized services.,"Freight Service, Logistics, Software",1990-01-01,year,"Software, Transportation",,Private,"2,230","4,642.5",,,,,,,,,,,,,,,,,,,,,$1M to $10M
Stream Software,https://www.crunchbase.com/organization/stream-software,Active,"Berchem, Brussels Hoofdstedelijk Gewest, Belgium",11-50,Stream Software delivers software solutions to improve operational and financial efficiency for the customs and logistics sectors.,,"Information Technology, Logistics, Software",1998-01-11,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
NextUp Software,https://www.crunchbase.com/organization/nextup-software,Active,"Tilburg, Noord-Brabant, The Netherlands",1-10,NextUp Software is a provider and shipper of logistics services providing transport management systems.,,"Information Technology, Logistics, Software",2015-01-01,year,"Information Technology, Software, Transportation",,Private,"1,958",,,,,,,,,,,,,,,,,,,,,,
LogisFleet,https://www.crunchbase.com/organization/logisfleet,Active,"Jurong West, West Region, Singapore",1-10,"LogisFleet provides software solutions for smarter logistics, transport, and fleet businesses.",,"Logistics, Software, Transportation",2005-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Kosmero Limited,https://www.crunchbase.com/organization/kosmero-limited,Active,"Abuja, Federal Capital Territory, Nigeria",51-100,"Technology Company, KFood, KRide, KampusPlug","KOSMERO RESOLVES KEY PROBLEMS FACED IN THE AFRICAN CONTINENT BY BUILDING TECHNOLOGICAL SOLUTIONS & STARTUPS PRODUCTS. Digital technology has helped us solve some of the biggest challenges we face. From helping us understand what’s going on in Africa, to making life easy for people. Technology has been helping us solve problems where human power alone just isn’t enough. For every big problem digital technology helps solve with much fanfare, thousands of little ones are eliminated each day without much notice. KOSMERO FOODS (KFood)  is an advanced online food ordering and delivery service system, which allows customers to browse and order from local participating restaurants or food vendors using its app or website. This system will allow food vendors (eateries, restaurants and caterers) to increase scope of business by reducing the labor cost involved. KOSMERO is a web and a mobile application designed primarily for use in the food delivery industry. Kosmero-Ride (KRide) is an app that changes the way you move things, how you shop and lets you access your city, connecting you to the nearest delivery partner – who can make purchases, pick up items from any location to you and it also connects you to the nearest service providers. Kosmero-Ride addresses the community’s needs for logistics services.  Through this platform, the difficulty of moving an item of choice (may be anything if you wish, we can say Groceries, Medicine, Apparel etc) from one point to another is solved. KAMPUS PLUG is a Social Learning hub and a Cloud Based Platform that provides users (i.e students and experts) with a large amount of resources (such as local handouts, course materials, past questions and academic solutions). KAMPUS-PLUG  connects users (students and experts) with a knowledge sharing community which also allow users to host meetings online via video conference calls or voice calls and it also gives users, the opportunity to promote educational and social events all on their mobile device. We have incorporated social networking with e-learning for learners, professionals and institutions of varying backgrounds, locations and of all levels in Africa. Our Platform will promote networks and partnerships for sustainable educational development in Africa.","Education, Food Delivery, Logistics, Software",2021-04-15,day,"Education, Food and Beverage, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Magnetic Mic,https://www.crunchbase.com/organization/magnetic-mic,Active,"Knoxville, Tennessee, United States",1-10,Magnetic Mic enhances safety by reducing distracted driving. ,Magnetic Mic enhances safety by reducing distracted driving. This easy-to-use conversion kit helps drivers stay focused on the road when picking up and returning a CB or digital radio microphone to its holder. ,"Logistics, Software",,,"Software, Transportation",,Private,126,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Brixe Box,https://www.crunchbase.com/organization/brixe-box,Active,"Winchester, Hampshire, United Kingdom",1-10,Brixe Box manufacture Parcel Delivery Boxes and make sure online shoppers receive their orders when not at home.,BrizeBox is the dropbox system for receiving and collecting parcels from your doorstep - no more waiting in for couriers! The delivery driver places the parcel in your BrizeBox. You retrieve it when you get home. ,"Apps, E-Commerce, Logistics, Software, Supply Chain Management",1989-01-01,year,"Apps, Commerce and Shopping, Software, Transportation",,Private,886,"1,606.17",,,,,,,,,,,,,,,,,,,,,Less than $1M
Trans-soft,https://www.crunchbase.com/organization/trans-soft,Active,"Scottsdale, Arizona, United States",11-50,Trans-soft is a tech company providing IT solutions for the freight industry.,"Since 1998 Trans-Soft has been a leader in technology solutions for the Freight Forwarding and Logistics industry. From its inception until the Spring of 2007 Trans-Soft developed the industry leading Domestic Freight Software Package ""TS2000 Plus"". In May 2007, Trans-Soft entered into a Strategic Alliance with Cargowise, a leading provider of forwarding and brokerage software for the international marketplace. The alliance combines CargoWise's leadership position in the global freight forwarding market with Trans-Soft's strengths in the U.S. market to deliver superior I.T. solutions to businesses in every location throughout the world. Today, Trans-Soft's key focus is providing top-tier software hosting for the logistics industry. We are able to host a variety of logistics software from providers such as Cargowise, Crown Data Systems, IES Ltd., Web Freight Pro, and many more. Trans-Soft provides cost effective hosting solutions while at the same time maximizing up-time, providing full-system redundancy, and ensuring system security. Our extensive knowledge of the transportation, software, and technology industries make us the obvious choice for logistics software hosting.","IaaS, Logistics, Software, Web Hosting",1998-01-01,year,"Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
